mean 100 episode reward,steps,% time spent exploring,episodes
1.1,17712,82,100
1.3,36720,63,200
1.8,57294,43,300
1.8,78371,22,400
2.3,103124,1,500
2.8,133903,1,600
2.7,165474,1,700
3.5,207735,1,800
4.3,243261,1,900
4.0,284350,1,1000
3.6,320183,1,1100
3.0,365889,1,1200
3.8,406726,1,1300
4.1,439886,1,1400
4.3,476363,1,1500
3.6,516203,1,1600
2.7,567618,1,1700
4.1,623185,1,1800
4.1,653425,1,1900
4.2,697299,1,2000
4.4,732198,1,2100
4.6,772714,1,2200
3.9,820208,1,2300
4.8,854975,1,2400
4.7,900402,1,2500
4.0,957992,1,2600
4.9,999754,1,2700
