% time spent exploring,mean 100 episode reward,episodes,steps
96,0.3,100,3206
93,0.3,200,6846
88,0.5,300,11125
86,0.2,400,14026
82,0.3,500,17379
79,0.3,600,20811
75,0.4,700,24536
72,0.3,800,27804
69,0.2,900,30997
66,0.2,1000,33971
63,0.3,1100,37266
59,0.4,1200,41380
54,0.5,1300,45684
49,0.7,1400,50615
44,0.9,1500,56272
37,1.3,1600,63353
30,1.2,1700,70546
22,1.5,1800,78497
14,1.5,1900,86444
4,2.2,2000,96860
1,2.3,2100,107806
1,2.8,2200,120212
1,2.8,2300,132690
1,3.0,2400,145869
1,3.0,2500,158610
1,3.6,2600,173606
1,3.2,2700,186732
1,3.4,2800,200535
1,3.8,2900,215668
1,4.7,3000,231108
1,4.2,3100,247269
1,5.0,3200,266564
1,4.2,3300,283374
1,4.4,3400,300027
1,5.5,3500,319674
1,5.2,3600,339152
1,5.4,3700,359505
1,5.2,3800,378993
1,5.3,3900,398718
1,5.2,4000,417633
1,5.4,4100,436981
1,5.0,4200,455956
1,5.3,4300,476420
1,5.3,4400,496483
1,5.9,4500,517841
1,6.1,4600,539396
1,6.4,4700,562201
1,7.0,4800,586746
1,8.0,4900,611314
1,7.3,5000,634219
1,6.8,5100,656195
1,6.8,5200,680170
1,7.4,5300,704735
1,7.9,5400,729624
1,6.9,5500,751717
1,7.0,5600,773878
1,8.4,5700,799536
1,8.2,5800,824322
1,7.9,5900,848604
1,8.8,6000,873863
1,9.0,6100,900919
1,8.9,6200,926706
1,8.8,6300,951387
1,9.4,6400,977831
