mean 100 episode reward,episodes,% time spent exploring,steps
1.4,100,81,18476
1.4,200,62,37875
1.9,300,40,59704
2.8,400,14,86726
2.4,500,1,111885
3.0,600,1,167595
3.1,700,1,221706
3.8,800,1,265656
3.8,900,1,321509
4.6,1000,1,357193
4.6,1100,1,393946
3.5,1200,1,436685
4.2,1300,1,477561
4.4,1400,1,519478
4.9,1500,1,573502
4.7,1600,1,612051
4.8,1700,1,658629
5.3,1800,1,703036
2.8,1900,1,731000
4.7,2000,1,777501
5.3,2100,1,805987
4.7,2200,1,837930
4.3,2300,1,875199
5.9,2400,1,922801
4.9,2500,1,967515
4.3,2600,1,995506
